Setting,Method,Merging,cluster_id,size,purity,mean_radius,nearest_cluster_dist,mean_prob,reliability_score,accepted,reason,sub_scores
VUP Embedding,VUP Embedding + Graph Merge,True,7,115,0.591304347826087,2.7728230953216553,3.9921867847442627,0.8943256711636147,0.39525575739801166,False,low_reliability_score,"{'compactness': 0.12202712272120583, 'separation': 0.5658255389957516, 'hdb_prob': 0.8943256711636147}"
VUP Embedding,VUP Embedding + Graph Merge,True,8,50,1.0,1.0801111459732056,4.7645955085754395,0.7157464783958557,0.5837225629677661,True,accepted,"{'compactness': 0.44069989472430693, 'separation': 0.6305467264715621, 'hdb_prob': 0.7157464783958557}"
VUP Embedding,VUP Embedding + Graph Merge,True,9,42,0.7857142857142857,1.8441338539123535,4.9828596115112305,0.9129217707333298,0.5263310580093108,True,accepted,"{'compactness': 0.24684563623131828, 'separation': 0.647020402441122, 'hdb_prob': 0.9129217707333298}"
VUP Embedding,VUP Embedding + Graph Merge,True,10,43,0.7906976744186046,1.4345163106918335,4.5308074951171875,0.9064523592146809,0.5717022202441373,True,accepted,"{'compactness': 0.33680569666105764, 'separation': 0.6120476353751412, 'hdb_prob': 0.9064523592146809}"
VUP Embedding,VUP Embedding + Graph Merge,True,11,48,0.9583333333333334,0.9994807839393616,4.633617401123047,0.8264673211406359,0.6215990810537104,True,accepted,"{'compactness': 0.468497952489383, 'separation': 0.6202941823353003, 'hdb_prob': 0.8264673211406359}"
VUP Embedding,VUP Embedding + Graph Merge,True,12,42,0.9047619047619048,0.7545210719108582,4.646498680114746,0.7799977853269042,0.6490418683821502,True,accepted,"{'compactness': 0.5641738448164033, 'separation': 0.6213149756147697, 'hdb_prob': 0.7799977853269042}"
VUP Embedding,VUP Embedding + Graph Merge,True,13,96,0.90625,1.192744493484497,3.9921867847442627,0.6926015531108692,0.5412527683278276,True,accepted,"{'compactness': 0.40460792504133947, 'separation': 0.5658255389957516, 'hdb_prob': 0.6926015531108692}"
VUP Embedding,VUP Embedding + Graph Merge,True,14,35,0.8857142857142857,1.7390470504760742,4.785022735595703,0.9336267357339569,0.5403481060489431,True,accepted,"{'compactness': 0.2673300047085157, 'separation': 0.6321205580597433, 'hdb_prob': 0.9336267357339569}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,0,22,0.9090909090909091,1.7683929204940796,6.131357669830322,0.7476492036015695,0.5531267526482266,True,accepted,"{'compactness': 0.30338524238089914, 'separation': 0.7460735884718936, 'hdb_prob': 0.7476492036015695}"
VUP Filtering,VUP Filtering + Graph HDBSCAN,False,1,70,1.0,1.6458463668823242,3.9425222873687744,0.9806475030799303,0.5741806383014754,True,accepted,"{'compactness': 0.3295272507476616, 'separation': 0.5857892119436445, 'hdb_prob': 0.9806475030799303}"
